"","Provider Name","County","State","Ownership Type","CMS Provider Number"
"1436","PARK AVENUE HEALTH CENTER","Middlesex","MA","For profit","225584"
"1437","PINE KNOLL NURSING CENTER","Middlesex","MA","For profit","225049"
"1438","REHABILITATION & NURSING CENTER AT EVERETT (THE)","Middlesex","MA","For profit","225300"
"1439","RESERVOIR CENTER FOR HEALTH & REHABILITATION, THE","Middlesex","MA","For profit","225326"
"1440","RIVERCREST LONG TERM CARE","Middlesex","MA","Non profit","225080"
"1441","ROYAL MEADOW VIEW CENTER","Middlesex","MA","For profit","225478"
"1442","SANCTA MARIA NURSING FACILITY","Middlesex","MA","Non profit","225573"
"1443","SEVEN HILLS PEDIATRIC CENTER","Middlesex","MA","Non profit","225781"
"1444","ST PATRICK'S MANOR","Middlesex","MA","Non profit","225430"
"1445","STONE REHABILITATION AND SENIOR LIVING","Middlesex","MA","Non profit","225683"
"1446","SUDBURY PINES EXTENDED CARE","Middlesex","MA","For profit","225531"
"1447","SUNNY ACRES NURSING HOME","Middlesex","MA","For profit","225494"
"1448","TOWN AND COUNTRY HEALTH CARE CENTER","Middlesex","MA","For profit","225537"
"1449","WAKEFIELD CENTER","Middlesex","MA","For profit","225400"
"1450","WATERTOWN HEALTH CENTER","Middlesex","MA","For profit","225425"
"1451","WATERVIEW LODGE LLC, REHABILITATION & HEALTHCARE","Middlesex","MA","For profit","225598"
"1452","WEST NEWTON HEALTHCARE","Middlesex","MA","For profit","225324"
"1453","WESTFORD HOUSE","Middlesex","MA","For profit","225586"
"1454","WILLOW MANOR","Middlesex","MA","For profit","225511"
"1455","WILMINGTON REHAB CENTER","Middlesex","MA","For profit","225568"
"1456","WINCHESTER NURSING CENTER, INC","Middlesex","MA","For profit","225357"
"1457","WINGATE AT CHESTNUT HILL","Middlesex","MA","For profit","225756"
"1458","WINGATE AT WESTON","Middlesex","MA","For profit","225501"
"1459","WOBURN NURSING CENTER, INC","Middlesex","MA","For profit","225394"
"1460","ALLIANCE HEALTH AT BRAINTREE","Norfolk","MA","Non profit","225769"
"1461","ALLIANCE HEALTH AT MARINA BAY","Norfolk","MA","Non profit","225680"
"1462","BLUE HILLS HEALTH AND REHABILITATION CENTER","Norfolk","MA","For profit","225444"
"1463","BRAINTREE MANOR HEALTHCARE","Norfolk","MA","For profit","225445"
"1464","BRIARWOOD REHABILITATION & HEALTHCARE CENTER","Norfolk","MA","For profit","225437"
"1465","BRUSH HILL CARE CENTER","Norfolk","MA","For profit","225274"
"1466","CARE ONE AT BROOKLINE","Norfolk","MA","For profit","225509"
"1467","CARE ONE AT RANDOLPH","Norfolk","MA","For profit","225356"
"1468","CARE ONE AT WEYMOUTH","Norfolk","MA","For profit","225634"
"1469","COMMONS RESIDENCE AT ORCHARD COVE","Norfolk","MA","Non profit","225672"
"1470","COPLEY AT STOUGHTON - BAYSTATE CONSOLIDATED PROPER","Norfolk","MA","For profit","225653"
"1471","DEDHAM HEALTHCARE","Norfolk","MA","Non profit","225321"
"1472","ELIZABETH SETON","Norfolk","MA","Non profit","225266"
"1473","ELLIS NURSING HOME (THE)","Norfolk","MA","For profit","225211"
"1474","HANCOCK PARK REHABILITATION AND NURSING CENTER","Norfolk","MA","For profit","225718"
"1475","HELLENIC NURSING & REHABILITATION CENTER","Norfolk","MA","Non profit","225418"
"1476","JOHN SCOTT HOUSE NURSING & REHABILITATION CENTER","Norfolk","MA","For profit","225054"
"1477","MAPLES REHABILITATION & NURSING CENTER","Norfolk","MA","For profit","225476"
"1478","MEDWAY COUNTRY MANOR SKILLED NURSING & REHABILITAT","Norfolk","MA","For profit","225412"
"1479","NEWBRIDGE ON THE CHARLES SKILLED NURSING FACILITY","Norfolk","MA","Non profit","225774"
"1480","NEWTON WELLESLEY CENTER FOR ALZHEIMER'S CARE","Norfolk","MA","For profit","225222"
"1481","NORWOOD HEALTHCARE","Norfolk","MA","For profit","225343"
"1482","POPE NURSING HOME","Norfolk","MA","For profit","225613"
"1483","QUINCY HEALTH AND REHABILITATION CENTER LLC","Norfolk","MA","For profit","225263"
"1484","REVOLUTION CHARLWELL","Norfolk","MA","For profit","225208"
"1485","ROYAL BRAINTREE NURSING AND REHABILITATION CENTER","Norfolk","MA","For profit","225058"
"1486","SERENITY HILL NURSING CENTER","Norfolk","MA","For profit","225752"
"1487","WALPOLE HEALTHCARE","Norfolk","MA","For profit","225536"
"1488","WINGATE AT NEEDHAM","Norfolk","MA","For profit","225695"
"1489","WINGATE AT SHARON","Norfolk","MA","For profit","225134"
"1490","ALLIANCE HEALTH AT WEST ACRES","Plymouth","MA","Non profit","225259"
"1491","BAYPATH AT DUXBURY NURSING & REHABILITATION CTR","Plymouth","MA","For profit","225279"
"1492","BAYPOINTE REHAB CENTER","Plymouth","MA","For profit","225690"
"1493","BROCKTON HEALTH CENTER","Plymouth","MA","For profit","225221"
"1494","COLONY CENTER FOR HEALTH & REHABILITATION","Plymouth","MA","For profit","225435"
"1495","GUARDIAN CENTER (THE)","Plymouth","MA","Non profit","225382"
"1496","HARBOR HOUSE NURSING & REHABILITATION CENTER","Plymouth","MA","For profit","225662"
"1497","LIFE CARE CENTER OF PLYMOUTH","Plymouth","MA","For profit","225666"
"1498","LIFE CARE CENTER OF THE SOUTH SHORE","Plymouth","MA","For profit","225282"
"1499","LIFE CARE CENTER OF WEST BRIDGEWATER","Plymouth","MA","For profit","225704"
"1500","OAKHILL HEALTHCARE","Plymouth","MA","For profit","225145"
"1501","QUEEN ANNE NURSING HOME, INC","Plymouth","MA","For profit","225254"
"1502","ROYAL NORWELL NURSING & REHABILITATION CENTER LLC","Plymouth","MA","For profit","225482"
"1503","SACHEM CENTER FOR HEALTH & REHABILITATION","Plymouth","MA","For profit","225322"
"1504","SOUTHSHORE HEALTH CARE CENTER","Plymouth","MA","For profit","225215"
"1505","SOUTHWOOD AT NORWELL NURSING CTR","Plymouth","MA","For profit","225597"
"1506","ST JOSEPH MANOR HEALTH CARE INC","Plymouth","MA","Non profit","225414"
"1507","TREMONT HEALTH CARE CENTER","Plymouth","MA","For profit","225488"
"1508","WEBSTER PARK REHABILITATION AND HEALTHCARE CENTER","Plymouth","MA","For profit","225184"
"1509","WINGATE AT SILVER LAKE","Plymouth","MA","For profit","225544"
"1510","ADVOCATE HEALTHCARE OF EAST BOSTON, LLC","Suffolk","MA","For profit","225413"
"1511","ARMENIAN NURSING & REHABILITATION CENTER","Suffolk","MA","Non profit","225417"
"1512","BENJAMIN HEALTHCARE CENTER","Suffolk","MA","Non profit","225654"
"1513","BOSTON HOME, INC (THE)","Suffolk","MA","Non profit","225434"
"1514","BOSTONIAN NURSING CARE & REHABILITATION CTR, THE","Suffolk","MA","Non profit","225436"
"1515","BRIGHTON HOUSE REHABILITATION & NURSING CENTER","Suffolk","MA","For profit","225770"
"1516","EASTPOINTE REHAB CENTER","Suffolk","MA","For profit","225557"
"1517","GERMAN CENTER FOR EXTENDED CARE","Suffolk","MA","Non profit","225540"
"1518","KATZMAN FAMILY CENTER FOR LIVING","Suffolk","MA","Non profit","225451"
"1519","LAUREL RIDGE REHAB AND SKILLED CARE CENTER","Suffolk","MA","Non profit","225469"
"1520","LEONARD FLORENCE CENTER FOR LIVING","Suffolk","MA","Non profit","225775"
"1521","LIGHTHOUSE NURSING CARE CENTER","Suffolk","MA","Non profit","225297"
"1522","MARIAN MANOR","Suffolk","MA","Non profit","225415"
"1523","MATTAPAN HEALTH & REHABILITATION CENTER","Suffolk","MA","For profit","225532"
"1524","PARK PLACE REHABILITATION & SKILLED CARE CENTER","Suffolk","MA","For profit","225375"
"1525","PARKWAY HEALTH AND REHABILITATION CENTER","Suffolk","MA","For profit","225497"
"1526","PRESENTATION REHAB AND SKILLED CARE CENTER","Suffolk","MA","Non profit","225486"
"1527","RECUPERATIVE SERVICES UNIT-HEBREW REHAB CENTER","Suffolk","MA","Non profit","225759"
"1528","SHERRILL HOUSE","Suffolk","MA","Non profit","225201"
"1529","SOLDIERS HOME IN MASSACHUSETTS","Suffolk","MA","Government","225110"
"1530","SPAULDING NURSING & THERAPY CENTER - BRIGHTON","Suffolk","MA","Non profit","225014"
"1531","ST JOSEPH REHAB & NURSING CARE CENTER","Suffolk","MA","For profit","225493"
"1532","STONEHEDGE HEALTH CARE CENTER","Suffolk","MA","For profit","225429"
"1533","WEST REVERE HEALTH CENTER","Suffolk","MA","For profit","225432"
"1534","WEST ROXBURY HEALTH & REHABILITATION CENTER","Suffolk","MA","For profit","225499"
"1535","ALLIANCE HEALTH AT BALDWINVILLE","Worcester","MA","Non profit","225388"
"1536","BEAR MOUNTAIN AT WORCESTER","Worcester","MA","For profit","225219"
"1537","BEAUMONT AT UNIVERSITY CAMPUS","Worcester","MA","For profit","225594"
"1538","BEAUMONT REHAB & SKILLED NURSING CTR - NORTHBORO","Worcester","MA","For profit","225513"
"1539","BEAUMONT REHAB & SKILLED NURSING CTR - NORTHBRIDGE","Worcester","MA","For profit","225248"
"1540","BEAUMONT REHAB & SKILLED NURSING CTR - WESTBORO","Worcester","MA","For profit","225275"
"1541","BLAIRE HOUSE OF MILFORD","Worcester","MA","For profit","225260"
"1542","BLAIRE HOUSE OF WORCESTER","Worcester","MA","For profit","225443"
"1543","CARE ONE AT MILLBURY","Worcester","MA","For profit","225720"
"1544","CHRISTOPHER HOUSE OF WORCESTER","Worcester","MA","Non profit","225385"
"1545","COLEMAN HOUSE","Worcester","MA","For profit","225403"
"1546","FITCHBURG HEALTHCARE","Worcester","MA","For profit","225216"
"1547","HIGHLANDS, THE","Worcester","MA","For profit","225315"
"1548","HOLY TRINITY EASTERN ORTHODOX N & R CENTER","Worcester","MA","Non profit","225648"
"1549","JEWISH HEALTHCARE CENTER","Worcester","MA","Non profit","225173"
"1550","KNOLLWOOD NURSING CENTER","Worcester","MA","Non profit","225016"
"1551","LYDIA TAFT HOUSE","Worcester","MA","For profit","225760"
"1552","MEADOWS OF CENTRAL MASSACHUSETTS (THE)","Worcester","MA","For profit","225668"
"1553","MILFORD CENTER","Worcester","MA","For profit","225562"
"1554","NOTRE DAME LONG TERM CARE CENTER","Worcester","MA","Non profit","225577"
"1555","PARSONS HILL REHABILITATION & HEALTH CARE CENTER","Worcester","MA","For profit","225390"
"1556","SHREWSBURY NURSING & REHABILITATION CENTER","Worcester","MA","For profit","225491"
"1557","ST MARY HEALTH CARE CENTER","Worcester","MA","Non profit","225305"
"1558","WACHUSETT MANOR","Worcester","MA","For profit","225533"
"1559","WEBSTER MANOR REHABILITATION & HEALTH CARE CENTER","Worcester","MA","For profit","225283"
"1560","WEST SIDE HOUSE LTC FACILITY","Worcester","MA","For profit","225500"
"1561","WESTBOROUGH HEALTHCARE","Worcester","MA","For profit","225242"
"1562","WORCESTER HEALTH CENTER","Worcester","MA","For profit","225467"
"1563","WORCESTER REHABILITATION & HEALTH CARE CENTER","Worcester","MA","For profit","225199"
"1564","CUMBERLAND HEALTHCARE CENTER","Allegany","MD","For profit","215055"
"1565","STERLING CARE AT FROSTBURG VILLAGE","Allegany","MD","For profit","215115"
"1566","BAYWOODS OF ANNAPOLIS","Anne Arundel","MD","For profit","215345"
"1567","CROFTON CONVALESCENT CENTER","Anne Arundel","MD","For profit","215120"
"1568","FAIRFIELD NURSING & REHABILITATION CENTER","Anne Arundel","MD","For profit","215236"
"1569","FUTURE CARE CHESAPEAKE","Anne Arundel","MD","For profit","215186"
"1570","GINGER COVE","Anne Arundel","MD","Non profit","215174"
"1571","HERITAGE HARBOUR HEALTH AND REHABILITATION CENTER","Anne Arundel","MD","For profit","215325"
"1572","MARLEY NECK HEALTH AND REHABILITATION CENTER","Anne Arundel","MD","For profit","215138"
"1573","NORTH ARUNDEL HEALTH AND REHABILITATION CENTER","Anne Arundel","MD","For profit","215316"
"1574","SEVERNA PARK CENTER","Anne Arundel","MD","For profit","215143"
"1575","SOUTH RIVER HEALTHCARE CENTER","Anne Arundel","MD","For profit","215297"
"1576","SPA CREEK CENTER","Anne Arundel","MD","For profit","215258"
"1577","WAUGH CHAPEL CENTER","Anne Arundel","MD","For profit","215148"
"1578","AUGSBURG VILLAGE","Baltimore","MD","Non profit","215193"
"1579","AUTUMN LAKE HEALTHCARE AT PIKESVILLE","Baltimore","MD","For profit","215082"
"1580","AUTUMN LAKE HEALTHCARE AT RIVERVIEW","Baltimore","MD","For profit","215203"
"1581","CATONSVILLE COMMONS","Baltimore","MD","For profit","215097"
"1582","CHAPEL HILL NURSING CENTER","Baltimore","MD","For profit","215220"
"1583","COURTLAND, LLC","Baltimore","MD","For profit","215128"
"1584","CROMWELL CENTER","Baltimore","MD","For profit","215129"
"1585","FOREST HAVEN NURSING AND REHABILITATION CTR","Baltimore","MD","For profit","215252"
"1586","FREDERICK VILLA NURSING & REHAB CENTER","Baltimore","MD","For profit","215178"
"1587","FUTURE CARE CHERRYWOOD","Baltimore","MD","For profit","215192"
"1588","FUTURE CARE OLD COURT","Baltimore","MD","For profit","215118"
"1589","HERITAGE CENTER","Baltimore","MD","For profit","215135"
"1590","KING DAVID NURSING AND REHABILITATION CENTER","Baltimore","MD","For profit","215022"
"1591","LOCH RAVEN CENTER","Baltimore","MD","For profit","215090"
"1592","MANOR CARE HEALTH SERVICES - ROLAND PARK","Baltimore","MD","For profit","215301"
"1593","MANOR CARE HEALTH SERVICES - ROSSVILLE","Baltimore","MD","For profit","215109"
"1594","MANOR CARE HEALTH SERVICES -TOWSON","Baltimore","MD","Non profit","215054"
"1595","MARIA HEALTH CARE CENTER, INC.","Baltimore","MD","Non profit","215300"
"1596","MARYLAND MASONIC HOMES LTD","Baltimore","MD","Non profit","215361"
"1597","MEADOW PARK REHABILITATION AND HEALTHCARE CENTER","Baltimore","MD","For profit","215347"
"1598","MULTI-MEDICAL CENTER","Baltimore","MD","For profit","215096"
"1599","OAK CREST VILLAGE","Baltimore","MD","Non profit","215308"
"1600","OAKWOOD CARE CENTER","Baltimore","MD","For profit","215181"
"1601","ORCHARD HILL REHABILITATION AND HEALTHCARE CENTER","Baltimore","MD","For profit","215069"
"1602","PATAPSCO HEALTH AND REHABILITATION","Baltimore","MD","For profit","215084"
"1603","STELLA MARIS, INC.","Baltimore","MD","Non profit","215117"
"1604","SUMMIT PARK HEALTH AND REHABILITATION CENTER","Baltimore","MD","For profit","215326"
"1605","ARLINGTON WEST CARE CENTER","Baltimore City","MD","For profit","215349"
"1606","AUTUMN LAKE HEALTHCARE AT BRIDGEPARK","Baltimore City","MD","For profit","215195"
"1607","CATON MANOR","Baltimore City","MD","For profit","215085"
"1608","FUTURE CARE CANTON HARBOR","Baltimore City","MD","For profit","215176"
"1609","FUTURE CARE CHARLES VILLAGE","Baltimore City","MD","For profit","215324"
"1610","FUTURE CARE COLD SPRING","Baltimore City","MD","For profit","215253"
"1611","FUTURE CARE IRVINGTON","Baltimore City","MD","For profit","215219"
"1612","GSNH OPERATOR, LLC","Baltimore City","MD","For profit","215241"
"1613","KESWICK MULTI-CARE CENTER","Baltimore City","MD","Non profit","215037"
"1614","LEVINDALE HEBREW GER CTR & HSP","Baltimore City","MD","Non profit","215033"
"1615","LOCHEARN NURSING HOME, LLC","Baltimore City","MD","For profit","215207"
"1616","LONG GREEN CENTER","Baltimore City","MD","For profit","215031"
"1617","POST-ACUTE CARE CENTER","Baltimore City","MD","For profit","215330"
"1618","ROLAND PARK PLACE","Baltimore City","MD","Non profit","215154"
"1619","ST. ELIZABETH REHAB. & NSG. CE","Baltimore City","MD","Non profit","215044"
"1620","THE NURSING AND REHAB CENTER AT STADIUM PLACE","Baltimore City","MD","For profit","215356"
"1621","WESTGATE HILLS REHAB & HEALTHCARE CTR","Baltimore City","MD","For profit","215299"
"1622","CALVERT COUNTY NURSING CTR.","Calvert","MD","For profit","215188"
"1623","CARROLL LUTHERAN VILLAGE","Carroll","MD","Non profit","215133"
"1624","FAIRHAVEN, INC.","Carroll","MD","Non profit","215130"
"1625","PLEASANT VIEW NSG HOME","Carroll","MD","For profit","215268"
"1626","WESTMINSTER HEALTHCARE CENTER","Carroll","MD","For profit","215094"
"1627","CALVERT MANOR CENTER FOR REHABILITATION AND HEALTH","Cecil","MD","For profit","215189"
"1628","RESTORE HEALTH REHABILITATION CENTER","Charles","MD","For profit","215362"
"1629","SAGEPOINT NURSING AND REHABILITATION CENTER","Charles","MD","Non profit","215106"
"1630","BALLENGER CREEK CENTER","Frederick","MD","For profit","215001"
"1631","CITIZENS CARE AND REHABILITATION CENTER OF FREDERI","Frederick","MD","Government","215105"
"1632","FREDERICK HEALTH & REHABILITATION CENTER","Frederick","MD","For profit","215184"
"1633","GLADE VALLEY CENTER","Frederick","MD","For profit","215313"
"1634","NORTHAMPTON MANOR NURSING AND REHABILITATION CENTE","Frederick","MD","For profit","215217"
"1635","BEL AIR HEALTH AND REHABILITATION CENTER","Harford","MD","For profit","215312"
"1636","FOREST HILL HEALTH AND REHABILITATION CENTER","Harford","MD","For profit","215194"
"1637","ELLICOTT CITY HEALTHCARE CENTER","Howard","MD","For profit","215160"
"1638","LORIEN HEALTH SYSTEMS - COLUMBIA","Howard","MD","For profit","215112"
"1639","LORIEN NURSING & REHAB CTR - ELKRIDGE","Howard","MD","For profit","215357"
"1640","AUTUMN LAKE HEALTHCARE AT CHESTERTOWN","Kent","MD","For profit","215260"
"1641","RESORTS AT CHESTER RIVER MANOR CORP","Kent","MD","For profit","215262"
"1642","ALTHEA WOODLAND NURSING HOME","Montgomery","MD","For profit","215228"
"1643","ARCOLA HEALTH AND REHABILITATION CENTER","Montgomery","MD","For profit","215014"
"1644","AUTUMN LAKE HEALTHCARE AT OAKVIEW","Montgomery","MD","For profit","215338"
"1645","BEDFORD COURT HEALTHCARE CENT.","Montgomery","MD","For profit","215246"
"1646","BEL PRE HEALTHCARE CENTER","Montgomery","MD","For profit","215065"
"1647","BETHESDA HEALTH AND REHABILITATION","Montgomery","MD","For profit","215187"
"1648","BRIGHTON GARDENS OF TUCKERMAN LANE","Montgomery","MD","For profit","215320"
"1649","BROOKE GROVE REHAB. & NSG CTR","Montgomery","MD","Non profit","215200"
"1650","CADIA HEALTHCARE - SPRINGBROOK","Montgomery","MD","For profit","215052"
"1651","CADIA HEALTHCARE - WHEATON","Montgomery","MD","For profit","215025"
"1652","CARRIAGE HILL BETHESDA","Montgomery","MD","For profit","215234"
"1653","COLLINGSWOOD REHABILITATION AND HEALTHCARE CENTER","Montgomery","MD","For profit","215092"
"1654","FAIRLAND CENTER","Montgomery","MD","For profit","215015"
"1655","FOX CHASE REHABILITATION AND NURSING CENTER","Montgomery","MD","For profit","215197"
"1656","FRIENDS NURSING HOME","Montgomery","MD","Non profit","215211"
"1657","HEBREW HOME OF GREATER WASHINGTON","Montgomery","MD","Non profit","215071"
"1658","INGLESIDE AT KING FARM","Montgomery","MD","For profit","215353"
"1659","KENSINGTON HEALTHCARE  CENTER","Montgomery","MD","For profit","215043"
"1660","LAYHILL NURSING AND REHABILITATION CENTER","Montgomery","MD","For profit","215168"
"1661","MANOR  CARE HEALTH SERVICES  -SILVER SPRING","Montgomery","MD","Non profit","215224"
"1662","MANOR CARE HEALTH SERVICES - BETHESDA","Montgomery","MD","For profit","215095"
"1663","MANOR CARE HEALTH SERVICES - CHEVY CHASE","Montgomery","MD","Non profit","215029"
"1664","MANOR CARE HEALTH SERVICES - POTOMAC","Montgomery","MD","Non profit","215171"
"1665","MANOR CARE HEALTH SERVICES - WHEATON","Montgomery","MD","For profit","215048"
"1666","MAPLEWOOD PARK PLACE","Montgomery","MD","For profit","215287"
"1667","MONTGOMERY VILLAGE HEALTH CARE CENTER","Montgomery","MD","For profit","215272"
"1668","OAK MANOR CENTER FOR REHABILITATION AND HEALTHCARE","Montgomery","MD","For profit","215315"
"1669","POTOMAC VALLEY REHABILITATION AND HEALTHCARE","Montgomery","MD","For profit","215026"
"1670","REGENCY CARE OF SILVER SPRING, LLC","Montgomery","MD","For profit","215060"
"1671","ROCKVILLE NURSING HOME","Montgomery","MD","Non profit","215107"
"1672","SHADY GROVE NURSING AND REHABILITATION CENTER","Montgomery","MD","For profit","215164"
"1673","SLIGO CREEK CENTER","Montgomery","MD","For profit","215327"
"1674","THE VILLAGE AT ROCKVILLE","Montgomery","MD","Non profit","215125"
"1675","WILSON HEALTH CARE CENTER","Montgomery","MD","Non profit","215099"
"1676","ADELPHI NURSING AND REHABILITATION CENTER","Prince Georges","MD","For profit","215064"
"1677","BRADFORD OAKS CENTER","Prince Georges","MD","For profit","215165"
"1678","CADIA HEALTHCARE - HYATTSVILLE","Prince Georges","MD","For profit","215145"
"1679","CLINTON HEALTHCARE  CENTER","Prince Georges","MD","For profit","215231"
"1680","COLLINGTON EPISCOPAL LIFE CARE","Prince Georges","MD","Non profit","215180"
"1681","CRESCENT CITIES NURSING & REHABILITATION CENTER","Prince Georges","MD","For profit","215323"
"1682","DOCTORS COMMUNITY REHABILITATION AND PATIENT CARE","Prince Georges","MD","For profit","215108"
"1683","FORESTVILLE HEALTHCARE CENTER","Prince Georges","MD","For profit","215020"
"1684","FUTURE CARE CAPITAL REGION","Prince Georges","MD","For profit","215364"
"1685","FUTURE CARE PINEVIEW","Prince Georges","MD","For profit","215328"
"1686","HILLHAVEN NURSING AND REHABILITATION CENTER","Prince Georges","MD","For profit","215212"
"1687","LARGO NURSING AND REHABILIATION CENTER","Prince Georges","MD","Non profit","215331"
"1688","LARKIN CHASE CENTER","Prince Georges","MD","For profit","215264"
"1689","PATUXENT RIVER HEALTH AND REHABILITATION CENTER","Prince Georges","MD","For profit","215141"
"1690","VILLA ROSA NURSING AND REHABILITATION, LLC","Prince Georges","MD","For profit","215350"
"1691","CORSICA HILLS CENTER","Queen Annes","MD","For profit","215114"
"1692","CHARLOTTE HALL VETERANS HOME","St. Marys","MD","For profit","215161"
"1693","CHESAPEAKE SHORES","St. Marys","MD","For profit","215142"
"1694","STERLING CARE AT SOUTH MOUNTAIN","Washington","MD","For profit","215144"
"1695","ANCHORAGE HEALTHCARE  CENTER","Wicomico","MD","For profit","215339"
"1696","SALISBURY REHABILITATION AND NURSING CENTER","Wicomico","MD","For profit","215067"
"1697","BERLIN NURSING AND REHABILITATION CENTER","Worcester","MD","For profit","215126"
"1698","MAINE VETERANS HOME - SCARBOROUGH","Cumberland","ME","Non profit","205127"
"1699","AUGUSTA CENTER FOR HEALTH & REHABILITATION, LLC","Kennebec","ME","For profit","205077"
"1700","THE COMMONS AT TALL PINES","Waldo","ME","For profit","205140"
"1701","SEAL ROCK HEALTH CARE","York","ME","For profit","205103"
"1702","MEDILODGE OF ALPENA","Alpena","MI","For profit","235280"
"1703","THORNAPPLE MANOR","Barry","MI","Government","235009"
"1704","PINE RIDGE - A REHABILITATION AND NURSING CENTER","Berrien","MI","Non profit","235164"
"1705","ADVANTAGE LIVING CENTER - BATTLE CREEK","Calhoun","MI","For profit","235536"
"1706","LAURELS OF BEDFORD (THE)","Calhoun","MI","For profit","235299"
"1707","GRAYLING NURSING & REHAB COMMUNITY","Crawford","MI","For profit","235432"
"1708","MUNSON HEALTHCARE CRAWFORD CONTINUING CARE CENTER","Crawford","MI","For profit","235201"
"1709","REGENCY AT LANSING WEST","Eaton","MI","For profit","235706"
"1710","FENTON HEALTHCARE","Genesee","MI","For profit","235482"
"1711","HEARTLAND HEALTH CARE CENTER-BRIARWOOD","Genesee","MI","Non profit","235184"
"1712","KITH HAVEN","Genesee","MI","For profit","235343"
"1713","MAPLE WOODS MANOR","Genesee","MI","For profit","235518"
"1714","MEDILODGE OF GRAND BLANC","Genesee","MI","For profit","235226"
"1715","REGENCY AT GRAND BLANC","Genesee","MI","For profit","235666"
"1716","WELLBRIDGE OF FENTON","Genesee","MI","For profit","235715"
"1717","WILLOWBROOK MANOR","Genesee","MI","For profit","235550"
"1718","HILLSDALE CO MEDICAL CARE FACI","Hillsdale","MI","Government","235197"
"1719","BURCHAM HILLS RETIREMENT CTR","Ingham","MI","Non profit","235236"
"1720","INGHAM COUNTY MEDICAL CARE FAC","Ingham","MI","Government","235015"
"1721","MEDILODGE OF OKEMOS","Ingham","MI","For profit","235647"
"1722","LAKEVIEW MANOR HEALTHCARE CENTER","Iosco","MI","For profit","235515"
"1723","ISABELLA CO MEDICAL CARE FACIL","Isabella","MI","Government","235037"
"1724","RIDGECREST HEALTH CAMPUS","Jackson","MI","For profit","235538"
"1725","MEDILODGE OF KALAMAZOO","Kalamazoo","MI","For profit","235282"
"1726","PLAINWELL PINES NURSING AND REHABILITATION COMMUNI","Kalamazoo","MI","For profit","235637"
"1727","CLARK RETIREMENT COMMUNITY","Kent","MI","Non profit","235401"
"1728","HEALTHBRIDGE POST-ACUTE REHABILITATION","Kent","MI","For profit","235723"
"1729","LAURELS OF KENT (THE)","Kent","MI","For profit","235253"
"1730","MISSION POINT NRSG AND REHAB CTR OF CEDAR SPRINGS","Kent","MI","For profit","235294"
"1731","LAPEER COUNTY MEDICAL CARE FAC","Lapeer","MI","Government","235058"
"1732","CARETEL INNS OF BRIGHTON","Livingston","MI","For profit","235615"
"1733","MEDILODGE OF LIVINGSTON","Livingston","MI","For profit","235330"
"1734","WELLBRIDGE OF BRIGHTON","Livingston","MI","For profit","235668"
"1735","ADVANTAGE LIVING CENTER - ROSEVILLE","Macomb","MI","For profit","235491"
"1736","ADVANTAGE LIVING CENTER - WARREN","Macomb","MI","For profit","235509"
"1737","AUTUMN WOODS RESIDENTIAL HLTH","Macomb","MI","For profit","235427"
"1738","CHURCH OF CHRIST CARE CENTER","Macomb","MI","Non profit","235619"
"1739","FATHER MURRAY, A VILLA CENTER","Macomb","MI","For profit","235298"
"1740","HEARTLAND HEALTH CARE CENTER - STERLING HEIGHTS","Macomb","MI","Non profit","235665"
"1741","LAKEPOINTE SENIOR CARE AND REHAB CENTER, L L C","Macomb","MI","For profit","235547"
"1742","LAKESIDE MANOR NURSING AND REHABILITATION CENTER","Macomb","MI","For profit","235719"
"1743","MARTHA T BERRY MCF","Macomb","MI","Government","235155"
"1744","MEDILODGE OF SHORELINE","Macomb","MI","For profit","235473"
"1745","MEDILODGE OF STERLING HEIGHTS","Macomb","MI","For profit","235263"
"1746","POMEROY LIVING STERLING SKILLED REHABILITATION","Macomb","MI","For profit","235484"
"1747","REGENCY AT SHELBY TOWNSHIP","Macomb","MI","For profit","235710"
"1748","REGENCY AT ST CLAIR SHORES","Macomb","MI","For profit","235319"
"1749","REGENCY MANOR NURSING & REHABILITATION CENTER","Macomb","MI","For profit","235617"
"1750","SANCTUARY AT FRASER VILLA","Macomb","MI","Non profit","235453"
"1751","SHELBY CROSSING HEALTH CAMPUS","Macomb","MI","For profit","235662"
"1752","SHELBY HEALTH AND REHABILITATION CENTER","Macomb","MI","For profit","235506"
"1753","SHOREPOINTE NURSING CENTER","Macomb","MI","For profit","235443"
"1754","THE VILLA AT CITY CENTER","Macomb","MI","For profit","235325"
"1755","THE VILLAGE OF EAST HARBOR","Macomb","MI","Non profit","235528"
"1756","NORLITE NURSING CENTER","Marquette","MI","For profit","235367"
"1757","BRITTANY MANOR","Midland","MI","For profit","235245"
"1758","FOUNTAIN VIEW OF MONROE","Monroe","MI","For profit","235225"
"1759","BEAUMONT REHAB & CONTINUING CARE FARMINGTON HILLS","Oakland","MI","Non profit","235462"
"1760","BELLBROOK","Oakland","MI","Non profit","235470"
"1761","BLOOMFIELD ORCHARD VILLA","Oakland","MI","For profit","235562"
"1762","CAMBRIDGE NORTH HEALTHCARE CENTER","Oakland","MI","For profit","235214"
"1763","CAMBRIDGE SOUTH HEALTHCARE CTR","Oakland","MI","For profit","235664"
"1764","CANTERBURY ON THE LAKE","Oakland","MI","Non profit","235555"
"1765","EVERGREEN HEALTH AND REHABILITATION CENTER","Oakland","MI","For profit","235582"
