agency_name,sub_agency,recipient,assist_type,biz_code,n_row,n_award,sum_row
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,HOUSTON HAIR HOSPITAL,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,1000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,HOUSTON HAIR HOSPITAL & BEAUTY BAR,DIRECT LOAN (E),R,1,1,37000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,HOUSTON HOSPITAL SERVICES INC,GUARANTEED/INSURED LOAN (F),R,1,1,195500
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,HOUSTON HOSPITAL SITTERS MY HOSPITAL SITTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,10000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,HUGGINS HOSPITAL,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",RM,1,1,10000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,HUNTER MEDICAL CENTER INC,DIRECT LOAN (E),R,1,1,39900
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,HUNTINGTON BEACH VET HOSPITAL INC,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,10000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,HUTCHINSON PET HOSPITAL PA,DIRECT LOAN (E),R,1,1,150000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,"HUTCHINSON PET HOSPITAL, PA","DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,10000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,HYATTSVILLE MEDICAL CENTER INC,DIRECT LOAN (E),R,1,1,145600
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,ICARE HEALTH & WELLNESS MEDICAL CENTER LLC,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,10000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,IDAHO EQUINE HOSPITAL PA,DIRECT LOAN (E),PR,1,1,147000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,IDEAL HEALTH MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,5000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,IDEAL MEDICAL CENTER OF TAMPA INC,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,5000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,IMMEDIATE MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,1000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,IMPERIAL BEACH PET HOSPITAL,DIRECT LOAN (E),R,1,1,150000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,INDIAN CREEK PET HOSPITAL,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,10000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,INFINITE WELLNESS INTEGRATIVE MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,6000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,"INLAND NATUROPATHIC MEDICAL CENTER, INC.",DIRECT LOAN (E),R,1,1,45300
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,INNOVATIVE MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,5000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,INTEGRATED MEDICAL CENTER LLC,DIRECT LOAN (E),R,1,1,20300
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,INTEGRATED MEDICAL CENTER OF FLORIDA LLC,DIRECT LOAN (E),R,1,1,150000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,"INTEGRATED MEDICAL CENTER, PA","DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,5000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,INTEGRATED MEDICAL CENTERS INC.,DIRECT LOAN (E),R,1,1,78800
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,INTEGRATIVE MEDICAL CENTER OF NEW MEXICO PC,GUARANTEED/INSURED LOAN (F),R,1,1,123204.8
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,INTEGRATIVE MEDICAL CENTERS LLC,DIRECT LOAN (E),R,1,1,68400
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,INTERCONTINENTAL HOUSTON - MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,10000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,INTERLAKE MEDICAL CENTER,GUARANTEED/INSURED LOAN (F),R,1,1,141670
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,INTERMAS USA CORP. D/B/A NON-SURGICAL BEAUTY AND D/B/A INTERMAS MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,10000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,INTERMOUNTAIN PET HOSPITAL,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,10000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,"INTERNATIONAL MEDICAL CENTER HMO, LLC",DIRECT LOAN (E),R,1,1,130000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,INTERVENTION ARMS MEDICAL CENTER LLC,GUARANTEED/INSURED LOAN (F),R,1,1,105000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,INTRACARE HOSPITAL NORTH,GUARANTEED/INSURED LOAN (F),M,1,1,1941295
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,INVER GROVE HEIGHTS FAMILY MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,3000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,IONA MEDICAL CENTER LLC,GUARANTEED/INSURED LOAN (F),R,1,1,145600
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,IRAAN GENERAL HOSPITAL DISTRICT,GUARANTEED/INSURED LOAN (F),R,1,1,813011.95
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,IRONWOOD CIRCLE MEDICAL CENTER,DIRECT LOAN (E),R,1,1,150000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,IROQUOIS MEMORIAL HOSPITAL & RESIDENT HOME,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",RM,1,1,10000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,"IRVINE CAT HOSPITAL, INC","DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,10000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,IRVING PET HOSPITAL,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,10000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,ISLANDS FAMILY MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,8000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,ISSELS MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,8000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,"ITALIAN HOSPITAL SOCIETY, INC","DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",RM,1,1,2000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,IUVENTUS MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,8000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,IVY BROOK MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,2000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,JAC MEDICAL CENTER INC.,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,6000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,JACKSON PARK HOSPITAL FOUNDATION,GUARANTEED/INSURED LOAN (F),M,1,1,8107667
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,JACKSONVILLE TOTAL CARE MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,3000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,JAMACHA URGENT MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,9000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,JAMES MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,2000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,JB MEDICAL CENTER CORP,GUARANTEED/INSURED LOAN (F),P,1,1,20832.5
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,"JC MEDICAL CENTERS, LLC","DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,10000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,JEFFERSON PARK MEDICAL CENTER LTD,DIRECT LOAN (E),R,1,1,150000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,JEFFERSON PARK MEDICAL CENTER LTD,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,1000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,JERRY'S LEATHER SHOP AND SHOE HOSPITAL,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,5000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,JEWELRY HOSPITAL,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,2000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,JEWISH RENAISSANCE MEDICAL CENTER,GUARANTEED/INSURED LOAN (F),M,1,1,1695045
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,"JIMENEZ MEDICAL CENTER, INC.",DIRECT LOAN (E),R,1,1,44000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,"JIMENEZ MEDICAL CENTER, INC.","DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,1000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,JIREH MEDICAL CENTER,DIRECT LOAN (E),R,1,1,150000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,JIREH MEDICAL CENTER(REDACTED),"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,10000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,JJZ MEDICAL CENTER INC,DIRECT LOAN (E),R,1,1,98500
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,JJZ MEDICAL CENTER INC,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,2000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,JOHNSON MEDICAL CENTER OF VENICE INC,DIRECT LOAN (E),R,1,1,51800
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,JOHNSON MEDICAL CENTER OF VENICE INC,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,8000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,JOO MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,9000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,JORDAN HOSPITAL ANESTHESIA ASSOCIATES,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,10000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,JORDAN MEADOWS MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,10000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,JOSE L SOA BARBOSA/DBA HOSPITAL PARA MASCOTAS,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",P,1,1,10000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,JUBURI MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,4000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,JUNG MEDICAL CENTER,DIRECT LOAN (E),PR,1,1,150000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,JUNG MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",P,1,1,4000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,JUNIOR AUXILLARY BOARD OF PENINSULA REGIONAL MEDICAL CENTER INC,GUARANTEED/INSURED LOAN (F),M,1,1,78290
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,JUPITER WEST MEDICAL CENTER INC,GUARANTEED/INSURED LOAN (F),R,1,1,51782.5
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,JUST FOR PAWS VET HOSPITAL,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,9000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,JUVENTUS MEDICAL CENTER,DIRECT LOAN (E),R,1,1,58000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,JUVENTUS MEDICAL CENTER INC,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,5000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,K SURGICAL MEDICAL CENTER INC,GUARANTEED/INSURED LOAN (F),R,1,1,50150
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,KAISER MEDICAL CENTER PC,GUARANTEED/INSURED LOAN (F),R,1,1,79000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,KAMA'AINA PET HOSPITAL,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,8000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,KANIFF COSMETIC MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,4000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,KAY MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,4000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,KAY MEDICAL CENTER PLLC,DIRECT LOAN (E),R,1,1,18600
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,KELL WEST REGIONAL HOSPITAL LLC,GUARANTEED/INSURED LOAN (F),R,1,1,2000000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,KENDALL FAMILY MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,8000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,KENDALL SOUTH MEDICAL CENTER INC,DIRECT LOAN (E),R,1,1,150000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,KENTUCKY LAKE EQUINE HOSPITAL,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,5000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,KETI MEDICAL CENTER & PAIN MANAGEMENT,DIRECT LOAN (E),R,1,1,150000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,KETI MEDICAL CENTER & PAIN MANAGEMENT INC.,GUARANTEED/INSURED LOAN (F),R,1,1,29600
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,KEY AUTO HOSPITAL,DIRECT LOAN (E),R,1,1,150000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,KEY AUTO HOSPITAL,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,5000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,"KEYS MEDICAL CENTER, INC","DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,1000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,KID DENTAL HOSPITAL PROGRAM LLC,DIRECT LOAN (E),R,1,1,29900
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,"KIHEI-WAILEA MEDICAL CENTER, LLC","DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,10000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,"KILLINGLY MEDICAL CENTER, LLC",DIRECT LOAN (E),R,1,1,8000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,KINDRED HOSPITAL,GUARANTEED/INSURED LOAN (F),P,1,1,20750
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,KINGSVILLE MEDICAL CENTER PA,GUARANTEED/INSURED LOAN (F),R,1,1,135800
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,KIRKMAN MEDICAL CENTER LLC,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,1000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,"KNOXVILLE COMMUNITY HOSPITAL, INC.",DIRECT LOAN (E),MR,1,1,150000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,KNOXVILLE HOSPITAL & CLINICS,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",RM,1,1,10000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,KOA MEDICAL CENTER,DIRECT LOAN (E),R,1,1,12000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,KYLE HOSPITAL,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,10000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,L & A MAJESTIC MEDICAL CENTER LLC,DIRECT LOAN (E),R,1,1,150000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,L & A MAJESTIC MEDICAL CENTER LLC,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,10000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,"L & C PROFESSIONAL MEDICAL CENTER, INC.",DIRECT LOAN (E),R,1,1,150000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,L GLOBAL MEDICAL CENTER CORP,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,10000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,"L& C PROFESSIONAL MEDICAL CENTER,INC","DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,10000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,LA CARIDAD MEDICAL CENTER CORP,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,10000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,LA CROIX ET SAINT MARTIN HOSPITAL CORPORATION,DIRECT LOAN (E),MR,1,1,150000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,LA CROIX ET SAINT MARTIN HOSPITAL CORPORATION,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",RM,1,1,10000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,LA ESPERANZA MEDICAL CENTERS INC,DIRECT LOAN (E),R,1,1,150000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,LA ESPERANZA MEDICAL CENTERS INC.,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,10000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,"LA HARBOR MEDICAL CENTER, LLC","DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,1000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,LA SALUD MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",RM,1,1,10000
